Altitude,Temperature,Pressure,Density,Speed_of_sound
28117.5,224.7675,1558.204112,0.024151,300.546601
28125,224.775,1556.428877,0.024122,300.551615
28132.5,224.7825,1554.655723,0.024094,300.556629
28140,224.79,1552.884649,0.024066,300.561643
28147.5,224.7975,1551.115652,0.024038,300.566657
28155,224.805,1549.348728,0.024009,300.571671
28162.5,224.8125,1547.583877,0.023981,300.576685
28170,224.82,1545.821094,0.023953,300.581699
28177.5,224.8275,1544.060378,0.023925,300.586712
28185,224.835,1542.301726,0.023897,300.591726
28192.5,224.8425,1540.545136,0.023869,300.59674
28200,224.85,1538.790604,0.023841,300.601753
28207.5,224.8575,1537.03813,0.023813,300.606766
28215,224.865,1535.28771,0.023785,300.61178
28222.5,224.8725,1533.539341,0.023757,300.616793
28230,224.88,1531.793022,0.023729,300.621806
28237.5,224.8875,1530.048749,0.023702,300.626819
28245,224.895,1528.306521,0.023674,300.631832
28252.5,224.9025,1526.566334,0.023646,300.636844
28260,224.91,1524.828187,0.023618,300.641857
28267.5,224.9175,1523.092077,0.023591,300.64687
28275,224.925,1521.358001,0.023563,300.651882
28282.5,224.9325,1519.625957,0.023535,300.656895
28290,224.94,1517.895943,0.023508,300.661907
28297.5,224.9475,1516.167956,0.02348,300.66692
28305,224.955,1514.441994,0.023453,300.671932
28312.5,224.9625,1512.718053,0.023425,300.676944
28320,224.97,1510.996133,0.023398,300.681956
28327.5,224.9775,1509.27623,0.02337,300.686968
28335,224.985,1507.558342,0.023343,300.69198
28342.5,224.9925,1505.842466,0.023316,300.696992
28350,225,1504.128601,0.023288,300.702004
28357.5,225.0075,1502.416743,0.023261,300.707015
28365,225.015,1500.70689,0.023234,300.712027
28372.5,225.0225,1498.999041,0.023207,300.717038
28380,225.03,1497.293191,0.02318,300.72205
28387.5,225.0375,1495.58934,0.023152,300.727061
28395,225.045,1493.887484,0.023125,300.732072
28402.5,225.0525,1492.187621,0.023098,300.737084
28410,225.06,1490.48975,0.023071,300.742095
28417.5,225.0675,1488.793866,0.023044,300.747106
28425,225.075,1487.099969,0.023017,300.752116
28432.5,225.0825,1485.408055,0.02299,300.757127
28440,225.09,1483.718122,0.022963,300.762138
28447.5,225.0975,1482.030169,0.022936,300.767149
28455,225.105,1480.344191,0.02291,300.772159
28462.5,225.1125,1478.660188,0.022883,300.77717
28470,225.12,1476.978156,0.022856,300.78218
28477.5,225.1275,1475.298094,0.022829,300.78719
28485,225.135,1473.619999,0.022802,300.792201
28492.5,225.1425,1471.943868,0.022776,300.797211
28500,225.15,1470.2697,0.022749,300.802221
28507.5,225.1575,1468.597491,0.022722,300.807231
28515,225.165,1466.92724,0.022696,300.812241
28522.5,225.1725,1465.258944,0.022669,300.817251
28530,225.18,1463.5926,0.022643,300.82226
28537.5,225.1875,1461.928208,0.022616,300.82727
28545,225.195,1460.265763,0.02259,300.83228
28552.5,225.2025,1458.605264,0.022563,300.837289
28560,225.21,1456.946708,0.022537,300.842299
28567.5,225.2175,1455.290093,0.022511,300.847308
28575,225.225,1453.635418,0.022484,300.852317
28582.5,225.2325,1451.982678,0.022458,300.857326
28590,225.24,1450.331873,0.022432,300.862335
28597.5,225.2475,1448.682999,0.022405,300.867344
28605,225.255,1447.036055,0.022379,300.872353
28612.5,225.2625,1445.391037,0.022353,300.877362
28620,225.27,1443.747945,0.022327,300.882371
28627.5,225.2775,1442.106775,0.022301,300.887379
28635,225.285,1440.467525,0.022275,300.892388
28642.5,225.2925,1438.830193,0.022249,300.897396
28650,225.3,1437.194777,0.022222,300.902405
28657.5,225.3075,1435.561273,0.022196,300.907413
28665,225.315,1433.929681,0.022171,300.912421
28672.5,225.3225,1432.299997,0.022145,300.91743
28680,225.33,1430.672219,0.022119,300.922438
28687.5,225.3375,1429.046346,0.022093,300.927446
28695,225.345,1427.422374,0.022067,300.932454
28702.5,225.3525,1425.800302,0.022041,300.937461
28710,225.36,1424.180127,0.022015,300.942469
28717.5,225.3675,1422.561846,0.02199,300.947477
28725,225.375,1420.945459,0.021964,300.952484
28732.5,225.3825,1419.330961,0.021938,300.957492
28740,225.39,1417.718352,0.021913,300.962499
28747.5,225.3975,1416.107629,0.021887,300.967507
28755,225.405,1414.498789,0.021861,300.972514
